feature,importance
b'!\xd8\xa8\xd9\x84\xd9\x87',0.0
b'!\xd8\xb2',0.0
b'!\xd8\xb2\xd8\xb2\xd9\x86',5.26226378691e-09
b'!\xd8\xb2\xda\xa9\xd9\x81*',0.0
b'!\xd8\xb3\xd8\xaa',0.0
b'!\xd9\x81\xd8\xaa\xd8\xa7\xd8\xaf\xd9\x87\xe2\x80\x8c\xd8\xa7\xdb\x8c\xd9\x85',0.0
b'!\xdb\x8c',0.0
b'!\xdb\x8c\xd9\x86',0.0
b'&#8220;\xd8\xa7\xd8\xb3\xd9\x85\xd8\xa7&#8221;',0.0
b'&#8220;\xd8\xb9\xd8\xa7\xd9\x84\xd9\x85',0.0
b'&#8230;',0.0
b'(',0.0
b'(\xd8\xb3\xd9\xbe\xd8\xa7\xd9\x87\xd8\xa7\xd9\x86)',0.0
b'(\xd8\xb9\xd8\xb1\xd8\xa7\xd9\x82)',0.0
b'(\xd9\x84\xd9\x84\xd9\x87)\xd9\x84\xd9\x84\xd8\xa7\xd9\x87',0.0
b'(\xd9\x87\xd9\x85)',0.0
b'(\xe2\x80\x8c\xd9\x84\xd8\xa7\xd8\xad\xd9\x88\xd9\x84\xe2\x80\x8c)',3.66363592531e-09
b')',0.0
b'*\xd9\x86',0.0
b'-',0.0
b'-\xd8\xac\xd9\x84\xd9\x88\xd9\x87',0.0
b'-\xd8\xb1\xdb\x8c\xd8\xb3\xd9\x85\xd8\xa7\xd9\x86',0.0
b'-\xd9\x86\xd9\x88\xd8\xa7\xdb\x8c\xdb\x8c\xd9\x87\xd8\xa7',0.0
b'-\xe2\x80\x8c\xd8\xb3\xdb\x8c\xd8\xb1\xd8\xaa',0.0
b'-\xe2\x80\x8c\xd8\xb9\xd9\x88\xd9\x86',0.0
b'..',0.0
b'.\xd8\xa7\xd8\xb2',0.0
b'.\xd8\xa8\xdb\x8c\xe2\x80\x8c\xd9\x86\xdb\x8c\xd8\xa7\xd8\xb2',0.0
b'.\xd8\xae\xd8\xb6\xd8\xb1\xd8\x8c',0.0
b'.\xd8\xb3\xd8\xaa\xdb\x8c',0.0
b'.\xd8\xb3\xd9\x88\xd8\xa7\xd8\xaf',0.0
b'.\xd8\xba\xd9\x84\xd8\xaa\xd8\xaf',0.0
b'.\xd9\x85\xd9\x86',0.0
b'.\xd9\x87\xd9\x85\xd9\x87',0.0
b'.\xd9\x88\xd9\x84\xdb\x8c',0.0
b'.\xda\xa9\xd8\xb3\xdb\x8c\xe2\x80\x8c\xda\xa9\xd8\xb2\xd8\xa7\xd9\x86',0.0
b'.\xda\xaf\xd9\x84',0.0
b':\xd8\xa2\xd8\xb1\xdb\x8c',0.0
b':\xd8\xb4\xd9\x88\xd9\x85',0.0
b':\xd9\x86\xdb\x8c\xd8\xb3\xd8\xaa',0.0
b'[\xd8\x9f\xd8\x9f]',0.0
b'[\xe2\x80\x8c\xd8\xb3\xd8\xaa',0.0
b'h\xd8\xb2',0.0
b'\xc2\xab',0.0
b'\xc2\xab\xd8\xa2\xd9\x86\xc2\xbb',0.0
b'\xc2\xab\xd8\xa7\xd8\xb1\xd8\xac\xd8\xb9\xdb\x8c\xc2\xbb',0.0
b'\xc2\xab\xd8\xa7\xd8\xb1\xd9\x86\xdb\x8c',0.0
b'\xc2\xab\xd8\xa7\xd8\xb1\xd9\x86\xdb\x8c\xc2\xbb',0.0
b'\xc2\xab\xd8\xa7\xd8\xb2',0.0
b'\xc2\xab\xd8\xa7\xd9\x84\xd8\xa7',0.0
b'\xc2\xab\xd8\xa7\xd9\x84\xd8\xa8\xd8\xa7\xd9\x82\xdb\x8c\xd8\xa7\xd8\xaa',0.0
b'\xc2\xab\xd8\xa7\xd9\x84\xd8\xac\xd9\x86\xd9\x88\xd9\x86',0.0
b'\xc2\xab\xd8\xa7\xd9\x84\xd8\xb3\xd9\x85\xd8\xa7\xd8\xb9\xc2\xbb',0.0
b'\xc2\xab\xd8\xa7\xd9\x84\xd8\xb6\xd8\xad\xd8\xa7\xd8\xb4\xc2\xbb',0.0
b'\xc2\xab\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb7\xd8\xb4\xc2\xbb',0.0
b'\xc2\xab\xd8\xa7\xd9\x84\xd9\x85\xd9\x86\xd8\xb9',0.0
b'\xc2\xab\xd8\xa7\xd9\x84\xd9\x86\xd8\xa7\xd8\xb1',0.0
b'\xc2\xab\xd8\xa7\xd9\x86\xd8\xa7',0.0
b'\xc2\xab\xd8\xa7\xd9\x86\xd8\xa8\xd8\xaa\xda\xa9',0.0
b'\xc2\xab\xd8\xa7\xd9\x86\xd9\x88\xd8\xb1\xdb\x8c\xc2\xbb',0.0
b'\xc2\xab\xd8\xa7\xd9\x86\xdb\x8c',0.0
b'\xc2\xab\xd8\xa7\xd9\x88',0.0
b'\xc2\xab\xd8\xa7\xdb\x8c',0.0
b'\xc2\xab\xd8\xa7\xdb\x8c\xda\xa9\xd9\x87',0.0
b'\xc2\xab\xd8\xa8\xd8\xb1',0.0
b'\xc2\xab\xd8\xa8\xd8\xb9\xd8\xaf\xd8\xa7\xd9\x84\xd9\x84\xd8\xaa\xdb\x8c\xd8\xa7',0.0
b'\xc2\xab\xd8\xa8\xd9\x84\xdb\x8c\xc2\xbb',0.0
b'\xc2\xab\xd8\xa8\xd9\x86\xd8\xb4\xdb\x8c\xd9\x86\xd9\x85',0.0
b'\xc2\xab\xd8\xa8\xda\x86\xdb\x8c\xd9\x86!\xc2\xbb',0.0
b'\xc2\xab\xd8\xa8\xda\xaf\xd8\xb0\xd8\xa7\xd8\xb1',0.0
b'\xc2\xab\xd8\xaa\xd8\xb1\xd8\xad\xd9\x85',0.0
b'\xc2\xab\xd8\xaa\xd9\x88',0.0
b'\xc2\xab\xd8\xac\xd8\xa7\xd8\xa1',0.0
b'\xc2\xab\xd8\xac\xd8\xa7\xd8\xb9\xd9\x84',0.0
b'\xc2\xab\xd8\xac\xd8\xb2\xd8\xa7\xdb\x8c',0.0
b'\xc2\xab\xd8\xad\xd8\xa7\xd8\xb4',0.0
b'\xc2\xab\xd8\xae\xd8\xa8\xd8\xb1',0.0
b'\xc2\xab\xd8\xae\xd9\x81\xd8\xaa\xd9\x87',0.0
b'\xc2\xab\xd8\xae\xd9\x88\xd8\xb4',0.0
b'\xc2\xab\xd8\xaf\xd8\xb1',0.0
b'\xc2\xab\xd8\xaf\xd8\xb3\xd8\xaa',0.0
b'\xc2\xab\xd8\xaf\xd9\x84',0.0
b'\xc2\xab\xd8\xb1\xd8\xa8',0.0
b'\xc2\xab\xd8\xb1\xd9\x87\xd8\xa7',0.0
b'\xc2\xab\xd8\xb2',0.0
b'\xc2\xab\xd8\xb3\xd8\xb1\xd9\x88',0.0
b'\xc2\xab\xd8\xb3\xd8\xb9\xd8\xaf\xdb\x8c',0.0
b'\xc2\xab\xd8\xb3\xd9\x82\xd8\xa7',0.0
b'\xc2\xab\xd8\xb3\xd9\x84',0.0
b'\xc2\xab\xd8\xb3\xd9\x84\xd9\x85\xd8\xa7\xd9\x86\xc2\xbb',0.0
b'\xc2\xab\xd8\xb3\xd9\x86',0.0
b'\xc2\xab\xd8\xb3\xd9\x86\xc2\xbb',0.0
b'\xc2\xab\xd8\xb3\xd9\x86\xd8\xa7\xdb\x8c\xdb\x8c\xc2\xbb',0.0
b'\xc2\xab\xd8\xb4\xd8\xa8',0.0
b'\xc2\xab\xd8\xb4\xdb\x8c\xd8\xb1\xd8\xa7\xd8\xb2',0.0
b'\xc2\xab\xd8\xb7\xd8\xa7\xd9\x84',0.0
b'\xc2\xab\xd8\xb7\xd9\x88\xd8\xa8\xdb\x8c',0.0
b'\xc2\xab\xd8\xb7\xd9\x88\xd8\xb9\xd8\xa7',0.0
b'\xc2\xab\xd8\xb9\xd8\xa7\xd8\xaf\xda\xa9\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xac\xd9\x88\xd9\x86\xc2\xbb',0.0
b'\xc2\xab\xd8\xb9\xd8\xb7\xd8\xa7\xd8\xb1\xc2\xbb',0.0
b'\xc2\xab\xd8\xb9\xd9\x86\xd8\xb5\xd8\xb1\xdb\x8c\xc2\xbb',0.0
b'\xc2\xab\xd9\x81\xd8\xa7\xd8\xb9\xd9\x84\xd8\xa7\xd8\xaa\xd9\x86',0.0
b'\xc2\xab\xd9\x81\xd8\xa7\xd9\x84\xd9\x82',0.0
b'\xc2\xab\xd9\x82\xd8\xa7\xd9\x84\xd9\x88\xd8\xa7\xd8\xa8\xd9\x84\xdb\x8c\xc2\xbb',0.0
b'\xc2\xab\xd9\x82\xd8\xaf',0.0
b'\xc2\xab\xd9\x82\xd9\x84',0.0
b'\xc2\xab\xd9\x82\xd9\x84\xc2\xbb',4.72145479583e-08
b'\xc2\xab\xd9\x84\xd8\xa7\xc2\xbb',0.0
b'\xc2\xab\xd9\x84\xd8\xa8\xdb\x8c\xd8\xa8\xdb\x8c\xc2\xbb',0.0
b'\xc2\xab\xd9\x84\xd8\xb9\xd9\x85\xd8\xb1\xda\xa9\xc2\xbb',0.0
b'\xc2\xab\xd9\x84\xd9\x84\xd9\x87',0.0
b'\xc2\xab\xd9\x84\xd9\x85\xc2\xbb',0.0
b'\xc2\xab\xd9\x84\xd9\x85\xd9\x86',0.0
b'\xc2\xab\xd9\x84\xd9\x86',0.0
b'\xc2\xab\xd9\x84\xd9\x88\xd9\x84\xd8\xa7\xda\xa9',0.0
b'\xc2\xab\xd9\x84\xd9\x88\xd9\x84\xd8\xa7\xda\xa9\xc2\xbb',0.0
b'\xc2\xab\xd9\x84\xdb\x8c',0.0
b'\xc2\xab\xd9\x84\xdb\x8c\xd8\xb3',0.0
b'\xc2\xab\xd9\x85\xd8\xaa\xdb\x8c',0.0
b'\xc2\xab\xd9\x85\xd8\xb1\xd8\xa7',2.11917560147e-08
b'\xc2\xab\xd9\x85\xd8\xb1\xda\xaf\xc2\xbb!',0.0
b'\xc2\xab\xd9\x85\xd8\xb4\xd8\xaa\xd8\xa7\xd9\x82\xdb\x8c',0.0
b'\xc2\xab\xd9\x85\xd8\xb4\xd9\x86\xd9\x88',0.0
b'\xc2\xab\xd9\x85\xd9\x86',0.0
b'\xc2\xab\xd9\x85\xda\x86\xdb\x8c\xd9\x86!\xc2\xbb',0.0
b'\xc2\xab\xd9\x85\xdb\x8c\xd8\xb1\xd9\x88\xd9\x85',0.0
b'\xc2\xab\xd9\x85\xdb\x8c\xe2\x80\x8c\xd8\xb1\xd9\x88\xd9\x85',0.0
b'\xc2\xab\xd9\x86\xc2\xbb',0.0
b'\xc2\xab\xd9\x86\xd8\xb9\xd9\x85\xc2\xbb',0.0
b'\xc2\xab\xd9\x86\xd9\x88\xd8\xb4\xd8\xa7\xd9\x86\xd9\x88\xd8\xb4\xc2\xbb',0.0
b'\xc2\xab\xd9\x87\xd8\xa7\xc2\xbb',0.0
b'\xc2\xab\xd9\x87\xd8\xa7\xdb\x8c\xc2\xbb',0.0
b'\xc2\xab\xd9\x87\xd8\xa7\xdb\x8c\xd8\xa7\xd9\x87\xd8\xa7\xdb\x8c',0.0
b'\xc2\xab\xd9\x87\xd9\x84',0.0
b'\xc2\xab\xd9\x87\xd9\x85\xd9\x87',0.0
b'\xc2\xab\xd9\x87\xd9\x88\xc2\xbb',0.0
b'\xc2\xab\xd9\x87\xd9\x88\xdb\x8c\xc2\xbb',0.0
b'\xc2\xab\xd9\x88',0.0
b'\xc2\xab\xd9\x88\xd8\xa7\xd9\x84\xd8\xb4\xd9\x85\xd8\xb3\xc2\xbb',0.0
b'\xc2\xab\xd9\x88\xd8\xa7\xd9\x84\xd9\x84\xdb\x8c\xd9\x84\xc2\xbb',0.0
b'\xc2\xab\xd9\x88\xd8\xb3\xd9\x82\xd8\xa7\xd9\x87\xd9\x85\xc2\xbb',0.0
b'\xc2\xab\xda\x86\xd9\x88\xd9\x86',0.0
b'\xc2\xab\xda\xa9\xd8\xb3',0.0
b'\xc2\xab\xda\xa9\xd9\x86\xc2\xbb',0.0
b'\xc2\xab\xda\xa9\xd9\x87',0.0
b'\xc2\xab\xda\xaf\xd8\xb1',0.0
b'\xc2\xab\xdb\x8c\xda\xa9',0.0
b'\xc2\xab\xe2\x80\x8c\xd8\xa7\xd8\xb1\xd9\x86\xdb\x8c\xe2\x80\x8c\xc2\xbb',0.0
b'\xc2\xab\xe2\x80\x8c\xd8\xa7\xd9\x86\xd8\xa7\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb4\xd9\x82\xdb\x8c\xe2\x80\x8c\xc2\xbb.',0.0
b'\xc2\xab\xe2\x80\x8c\xd8\xa7\xd9\x86\xdb\x8c',0.0
b'\xc2\xab\xe2\x80\x8c\xd8\xad\xd8\xa8\xd9\x84',0.0
b'\xc2\xab\xe2\x80\x8c\xd8\xb2\xda\xa9\xd9\x86\xd8\xaa',0.0
b'\xc2\xab\xe2\x80\x8c\xd9\x84\xd8\xa7\xd8\xaa\xd8\xae\xd9\x81\xe2\x80\x8c\xc2\xbb',0.0
b'\xc2\xab\xe2\x80\x8c\xd9\x84\xd8\xa7\xd8\xb4\xd8\xb1\xdb\x8c\xda\xa9',0.0
b'\xc2\xab\xe2\x80\x8c\xd9\x84\xd9\x86\xe2\x80\x8c\xd8\xaa\xd8\xb1\xd8\xa7\xd9\x86\xdb\x8c\xe2\x80\x8c\xc2\xbb',0.0
b'\xc2\xab\xe2\x80\x8c\xd9\x86\xd9\x87',0.0
b'\xc2\xbb',1.10190179685e-06
b'\xc2\xbb\xd8\x8c',3.14521893814e-09
b'\xd8\x8c\xd8\xa2\xd8\xb3\xd8\xa7\xd9\x86',0.0
b'\xd8\x8c\xd8\xa7\xdb\x8c',0.0
b'\xd8\x8c\xd8\xa8\xd8\xa8\xdb\x8c\xd9\x86',0.0
b'\xd8\x8c\xd8\xa8\xd8\xb1\xd8\xaf',0.0
b'\xd8\x8c\xd8\xa8\xd9\x87',0.0
b'\xd8\x8c\xd8\xaa\xda\xa9\xdb\x8c\xd9\x87',0.0
b'\xd8\x8c\xd8\xaf\xd9\x84',0.0
b'\xd8\x8c\xd8\xb2',0.0
b'\xd8\x8c\xd8\xba\xd9\x85\xd8\xb2\xd9\x87',0.0
b'\xd8\x8c\xd9\x85\xd8\xb4\xda\xa9\xd9\x84',0.0
b'\xd8\x8c\xd9\x88\xd8\xad\xd8\xb4\xdb\x8c',0.0
b'\xd8\x8c\xd9\xbe\xd8\xa7\xdb\x8c',0.0
b'\xd8\x8c\xda\xa9\xd9\x87',0.0
b'\xd8\x8c\xe2\x80\x8c\xd8\xaf\xd8\xb1',0.0
b'\xd8\x8c\xe2\x80\x8c\xda\xaf\xd9\x84',0.0
b'\xd8\x8c\xe2\x80\x8c\xda\xaf\xd9\x87\xdb\x8c\xe2\x80\x8c\xd8\xac\xd9\x86\xda\xaf\xd9\x85\xe2\x80\x8c\xd8\x8c\xe2\x80\x8c\xda\xaf\xd9\x87\xdb\x8c\xe2\x80\x8c\xd9\x85\xdb\x8c\xd9\x86\xd8\xa7',0.0
b'\xd8\x8c\xe2\x80\x8c\xda\xaf\xd9\x87\xdb\x8c\xe2\x80\x8c\xd8\xb3\xd9\x86\xda\xaf\xd9\x85',0.0
b'\xd8\x9f\xd8\x9f',0.0
b'\xd8\x9f\xd8\x9f\xd8\x9f',0.0
b'\xd8\x9f\xd8\x9f\xd8\x9f\xd8\xa7\xd9\x86',0.0
b'\xd8\x9f\xd8\x9f\xd8\xaf\xd9\x86\xdb\x8c',0.0
b'\xd8\x9f\xd8\xb9\xd8\xb4\xd9\x82',0.0
b'\xd8\x9f\xd9\x88\xdb\x8c',0.0
b'\xd8\xa1',3.73605593635e-09
b'\xd8\xa1\xe2\x80\x8c\xd9\x85\xd9\x88\xd8\xb1',0.0
b'\xd8\xa2',5.84395275273e-05
b'\xd8\xa2\xc2\xbb',0.0
b'\xd8\xa2\xd8\x8c',0.0
b'\xd8\xa2\xd8\x8c\xe2\x80\x8c\xda\xa9\xd9\x87',0.0
b'\xd8\xa2\xd8\xa6\xda\x86\xd9\x87',0.0
b'\xd8\xa2\xd8\xa6\xdb\x8c',8.16715589597e-08
b'\xd8\xa2\xd8\xa6\xdb\x8c\xd8\xaf',0.0
b'\xd8\xa2\xd8\xa6\xdb\x8c\xd9\x85',5.68897243837e-08
b'\xd8\xa2\xd8\xa6\xdb\x8c\xd9\x86',6.39890871738e-05
b'\xd8\xa2\xd8\xa6\xdb\x8c\xd9\x86\xd8\xa9',0.0
b'\xd8\xa2\xd8\xa6\xdb\x8c\xd9\x86\xd8\xb4',0.0
b'\xd8\xa2\xd8\xa6\xdb\x8c\xd9\x86\xd9\x87',1.95101035877e-05
b'\xd8\xa2\xd8\xa6\xdb\x8c\xd9\x86\xd9\x87\xd9\x94',1.35430339826e-07
b'\xd8\xa2\xd8\xa6\xdb\x8c\xd9\x86\xd9\x87\xe2\x80\x8c',0.0
b'\xd8\xa2\xd8\xa6\xdb\x8c\xd9\x86\xd9\x87\xe2\x80\x8c\xd8\xa7\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa6\xdb\x8c\xd9\x86\xd9\x87\xe2\x80\x8c\xd9\x86\xd9\x85\xd8\xa7',0.0
b'\xd8\xa2\xd8\xa6\xdb\x8c\xd9\x86\xdb\x8c',0.0
