feature,importance
b'\xd8\xa2\xd8\xa7\xd9\x86\xd8\xaf\xd9\x87\xd8\xa7\xd9\x86',0.0
b'\xd8\xa2\xd8\xa8',0.000652060108744
b'\xd8\xa2\xd8\xa8\xd8\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\x9f',0.0
b'\xd8\xa2\xd8\xa8\xd8\xa7',1.68932028256e-09
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd8\xaf\xd8\xa7\xd9\x86',1.82466865608e-09
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd8\xaf\xd8\xb3\xd8\xaa',8.05795643296e-05
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd8\xaf\xd9\x85',6.94099783257e-05
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd8\xaf\xd9\x85\xe2\x80\x8c\xda\xa9\xd9\x86\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd8\xaf\xd9\x86',0.0
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd8\xaf\xd9\x86\xdb\x8c\xd8\xa7\xd8\xa8\xd9\x86\xd8\xaf',0.0
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd8\xaf\xd9\x87\xd8\xa7',0.0
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd8\xaf\xda\xa9\xd9\x86',0.0
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd8\xaf\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd8\xaf\xdb\x8c\xd9\x85',2.00437438848e-08
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd8\xaf\xdb\x8c\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd8\xaf\xdb\x8c\xe2\x80\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd9\x82\xd8\xa7\xd9\x86',0.0
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd9\x86',0.0
b'\xd8\xa2\xd8\xa8\xd8\xa7\xdb\x8c',7.11688468378e-08
b'\xd8\xa2\xd8\xa8\xd8\xa8\xd8\xa7\xd8\xb1',0.0
b'\xd8\xa2\xd8\xa8\xd8\xaa',8.01998990268e-08
b'\xd8\xa2\xd8\xa8\xd8\xaa\xd8\xa7\xd9\x86',0.0
b'\xd8\xa2\xd8\xa8\xd8\xae\xd9\x88\xd8\xa7\xd8\xb1',0.0
b'\xd8\xa2\xd8\xa8\xd8\xae\xd9\x88\xd8\xb1',0.00020073536002
b'\xd8\xa2\xd8\xa8\xd8\xae\xd9\x88\xd8\xb1\xd8\xaf',0.0
b'\xd8\xa2\xd8\xa8\xd8\xae\xd9\x88\xd8\xb1\xd8\xaf\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xae\xd9\x88\xd8\xb1\xd9\x85',0.0
b'\xd8\xa2\xd8\xa8\xd8\xaf\xd8\xa7\xd8\xb1',3.38061864771e-08
b'\xd8\xa2\xd8\xa8\xd8\xaf\xd8\xa7\xd8\xb1\xd8\xaa',0.0
b'\xd8\xa2\xd8\xa8\xd8\xaf\xd8\xa7\xd8\xb1\xd8\xaa\xe2\x80\x8c\xda\xa9\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xaf\xd8\xa7\xd8\xb1\xd8\xb3\xd8\xaa',0.0
b'\xd8\xa2\xd8\xa8\xd8\xaf\xd8\xa7\xd8\xb1\xd8\xb4',0.0
b'\xd8\xa2\xd8\xa8\xd8\xaf\xd8\xa7\xd8\xb1\xd9\x85\xe2\x80\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xaf\xd8\xa7\xd8\xb1\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xaf\xd8\xb3\xd8\xaa',0.0
b'\xd8\xa2\xd8\xa8\xd8\xaf\xd8\xb3\xd8\xaa\xd9\x85',0.0
b'\xd8\xa2\xd8\xa8\xd8\xaf\xd8\xb4',0.0
b'\xd8\xa2\xd8\xa8\xd8\xaf\xd9\x87',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88',1.68993013643e-05
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xd8\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xd8\xa6\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xd8\xa8\xd8\xaa',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xd8\xa8\xd9\x85',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xd8\xa8\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xd8\xae\xd9\x88\xd8\xa7\xd9\x87\xdb\x8c\xe2\x80\x8c\xd8\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xd8\xaf\xd8\xa7\xd8\xb1\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xd8\xb1\xdb\x8c\xd8\xb2',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xd8\xb1\xdb\x8c\xd8\xb2\xdb\x8c\xe2\x80\x8c\xd8\xb3\xd8\xaa',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xd8\xb3\xd8\xaa',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xd8\xb7\xd9\x84\xd8\xa8\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xd8\xb9\xd8\xb1\xd9\x82',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xd9\x86\xd8\xaa\xd9\x88\xd8\xa7\xd9\x86',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xd9\x87\xd8\xa7',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xda\xa9\xd8\xb4',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xda\xa9\xd9\x86\xd9\x86\xd8\xaf',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xdb\x8c',0.000102810655705
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xdb\x8c\xd8\xaa',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xdb\x8c\xd8\xb4',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xdb\x8c\xd9\x85',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xdb\x8c\xdb\x8c',8.34073369192e-09
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xdb\x8c\xdb\x8c\xe2\x80\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xdb\x8c\xe2\x80\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xdb\x8c\xe2\x80\x8c.\xd8\xae\xd9\x88\xdb\x8c\xd8\xb4',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88\xdb\x8c\xe2\x80\x8c\xda\xa9\xd8\xa7\xd9\x85',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xdb\x8c\xd8\xb2',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb3\xd8\xaa',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb3\xd8\xaa\xd8\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb3\xd8\xaa\xd8\xa7\xd9\x86',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb3\xd8\xaa\xd9\x86',1.95434334623e-05
b'\xd8\xa2\xd8\xa8\xd8\xb3\xd8\xaa\xd9\x86\xd8\xa7\xd9\x86',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb3\xd8\xaa\xd9\x86\xd8\xb3\xd8\xaa',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb3\xd8\xaa\xd9\x86\xd9\x85',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb3\xd8\xaa\xd9\x86\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb3\xd8\xaa\xd9\x86\xdb\x8c\xd9\x85',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb3\xd8\xaa\xd9\x86\xe2\x80\x8c\xd8\xb3\xd8\xaa',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb3\xd8\xaa\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb4',3.8645881709e-05
b'\xd8\xa2\xd8\xa8\xd8\xb4\xd8\xa7\xd8\xb1',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd8\xb3\xd8\xaa\xd8\xa7\xd9\x86',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87',5.97136185191e-08
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xd8\xb1\xdb\x8c\xd9\x86\xd8\xae\xd8\xaa',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xd9\x94',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd8\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd8\xa7\xd8\xaa',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd8\xa7\xd8\xb4',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd8\xa7\xd9\x85',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd8\xa7\xd9\x85\xe2\x80\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd8\xa7\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd8\xa7\xdb\x8c\xd9\x85',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd8\xa8\xd9\x88\xd8\xb3\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd8\xaf\xd8\xa7\xd8\xb1',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd8\xaf\xd8\xa7\xd8\xb1\xd8\xb3\xd8\xaa',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd8\xb1\xd8\xb3',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd8\xb1\xd9\x88',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd8\xb2\xd8\xa7',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd8\xb2\xd8\xa7\xd8\xb1',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd8\xb4',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd9\x81\xd8\xb1\xd8\xb3\xd8\xa7\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd9\x81\xd8\xb1\xd8\xb3\xd8\xa7\xdb\x8c\xd8\xb4',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd9\x87\xd8\xa7',8.24099249655e-07
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd9\x87\xd8\xa7\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd9\x88\xd8\xa7\xd8\xb1\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd9\xbe\xd8\xa7',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd9\xbe\xd8\xa7\xd8\xb3\xd8\xaa',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd9\xbe\xd8\xa7\xdb\x8c\xd8\xa7\xd9\x86',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd9\xbe\xd8\xa7\xdb\x8c\xdb\x8c\xe2\x80\x8c\xd8\xb3\xd8\xaa',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd9\xbe\xd8\xa7\xdb\x8c\xdb\x8c\xe2\x80\x8c\xda\xaf\xd9\x87\xd8\xb1',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xd9\xbe\xd9\x88\xd8\xb4',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xda\xa9\xd8\xa7\xd8\xb1',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xda\xa9\xd8\xb1\xd8\xaf\xdb\x8c\xd9\x85',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xda\xa9\xd9\x86',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xda\xa9\xd9\x86\xe2\x80\x8c\xda\xaf\xd9\x84\xd8\xb4',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xda\xa9\xd9\x88',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xda\xa9\xd9\x88\xd8\xaa\xd8\xa7\xd9\x87',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xda\xaf\xd8\xa7\xd9\x87\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xda\xaf\xd8\xb1\xdb\x8c\xd9\x87',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xda\xaf\xd8\xb4\xd8\xaa\xdb\x8c\xd9\x85',0.0
b'\xd8\xa2\xd8\xa8\xd9\x84\xd9\x87\xe2\x80\x8c\xda\xaf\xdb\x8c\xd8\xb1\xd8\xaf',0.0
b'\xd8\xa2\xd8\xa8\xd9\x85',1.47541674805e-07
b'\xd8\xa2\xd8\xa8\xd9\x85\xd8\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd9\x85\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd9\x85\xe2\x80\x8c\xd8\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd9\x85\xe2\x80\x8c\xd8\x8c\xe2\x80\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd9\x85\xe2\x80\x8c\xda\xaf\xd8\xb1\xda\xa9\xd9\x86\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd9\x86\xd8\xaf',0.0
b'\xd8\xa2\xd8\xa8\xd9\x86\xd8\xaf\xda\xa9\xd9\x88\xda\xa9\xd8\xa8\xd9\x87\xd8\xa7',0.0
b'\xd8\xa2\xd8\xa8\xd9\x86\xd9\x87',0.0
b'\xd8\xa2\xd8\xa8\xd9\x86\xd9\x88\xd8\xb3',0.0
b'\xd8\xa2\xd8\xa8\xd9\x86\xd9\x88\xd8\xb3\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd9\x87\xd8\xa7',0.0
b'\xd8\xa2\xd8\xa8\xd9\x87\xd8\xa7\xd9\x86\xd9\x87',0.0
b'\xd8\xa2\xd8\xa8\xd9\x87\xd8\xa7\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xda\xa9',0.0
b'\xd8\xa2\xd8\xa8\xda\xa9\xd8\xb4',0.0
b'\xd8\xa2\xd8\xa8\xda\xa9\xd9\x86',0.0
b'\xd8\xa2\xd8\xa8\xda\xaf\xd8\xb0\xd8\xb1',0.0
b'\xd8\xa2\xd8\xa8\xda\xaf\xd9\x88\xd9\x86',3.22941886943e-09
b'\xd8\xa2\xd8\xa8\xda\xaf\xd9\x88\xd9\x86\xd9\x85',0.0
b'\xd8\xa2\xd8\xa8\xda\xaf\xd9\x88\xd9\x86\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xda\xaf\xd9\x88\xd9\x86\xe2\x80\x8c',0.0
b'\xd8\xa2\xd8\xa8\xda\xaf\xd9\x88\xd9\x86\xe2\x80\x8c\xd8\xb3\xd8\xaa',0.0
b'\xd8\xa2\xd8\xa8\xda\xaf\xd9\xbe\xd9\x86\xd9\x85',0.0
b'\xd8\xa2\xd8\xa8\xda\xaf\xdb\x8c\xd8\xb1',0.0
b'\xd8\xa2\xd8\xa8\xda\xaf\xdb\x8c\xd9\x86\xd8\xb3\xd8\xaa',0.0
b'\xd8\xa2\xd8\xa8\xda\xaf\xdb\x8c\xd9\x86\xd9\x87',3.04118748149e-06
b'\xd8\xa2\xd8\xa8\xda\xaf\xdb\x8c\xd9\x86\xd9\x87\xd9\x94',0.0
b'\xd8\xa2\xd8\xa8\xda\xaf\xdb\x8c\xd9\x86\xd9\x87\xd9\x94\xe2\x80\x8c',0.0
b'\xd8\xa2\xd8\xa8\xda\xaf\xdb\x8c\xd9\x86\xd9\x87\xe2\x80\x8c',0.0
